#Source: http://rochester.nydatabases.com/sites/default/files/popular%20names_0.csv
#Name,Number
Theo,83
Velvet,83
Bj,82
Ivan,82
Lexy,82
Pj,82
Scarlett,82
Bubbles,81
Lillie,81
Monte,81
Rock,81
Sandi,81
Zelda,81
Bogart,80
Elsa,80
Eve,80
Jetta,80
Keesha,80
Linus,80
Mulligan,80
Nico,80
Nike,80
Nova,80
Pudge,80
Shady,80
Cowboy,79
Killer,79
Lance,79
Louis,79
Matty,79
Mitzie,79
Petie,79
Pooh Bear,79
Shelly,79
Zak,79
Augie,78
Bogie,78
Gia,78
K C,78
Mitzy,78
Scotty,78
Watson,78
Gina,77
Jo Jo,77
Sid,77
Chewbacca,76
Chica,76
Cyrus,76
Dude,76
Franklin,76
Kato,76
Lobo,76
Mona,76
Pepsi,76
Roxi,76
Stitch,76
Einstein,75
Felix,75
Jazmine,75
Larry,75
Cleopatra,74
Connor,74
Darcy,74
Munchkin,74
Poncho,74
Puddles,74
Blossom,73
Boris,73
Cupcake,73
Emmett,73
Frodo,73
Leia,73
Mo,73
Nanook,73
Starr,73
Troy,73
Vegas,73
Wolf,73
Bristol,72
Indiana,72
Kaya,72
Koby,72
Reno,72
Vinnie,72
Wendy,72
Arthur,71
Butterscotch,71
Carter,71
Coda,71
Lenny,71
Orion,71
Pookie,71
Thumper,71
Wiggles,71
Buzz,70
Caleb,70
Cheech,70
Chrissy,70
Gordon,70
Gunnar,70
Honey Bear,70
Macey,70
Pokey,70
Venus,70
Achilles,69
Brock,69
Carmel,69
Dale,69
Emmie,69
Gibson,69
Jr,69
Juliet,69
Lady Bug,69
Luigi,69
Pickles,69
Wishbone,69
Basil,68
Beethoven,68
Chaos,68
Cherokee,68
Dingo,68
Dublin,68
Elsie,68
Rags,68
Sheila,68
Tramp,68
Wiley,68
Demon,67
Lou,67
Patty,67
Tito,67
Tj,67
Banjo,66
Bones,66
Cisco,66
Fancy,66
Isabel,66
Jingles,66
Newman,66
Pip,66
Russell,66
Scamp,66
Tessie,66
Walker,66
Aries,65
Blu,65
Chocolate,65
Chyna,65
Hoss,65
Iris,65
Lena,65
Mary,65
Percy,65
Peyton,65
Shayna,65
Alley,64
Apache,64
Denali,64
Desi,64
Elliott,64
Fergus,64
Ginny,64
Jessica,64
Lucie,64
Midget,64
Phantom,64
Smudge,64
Stewie,64
Wilbur,64
Carley,63
Chili,63
Gucci,63
Gwen,63
Kyra,63
Meeka,63
Pooh,63
Randy,63
Rio,63
Rupert,63
Spooky,63
Tammy,63
Tobi,63
Whitney,63
Deacon,62
Gabe,62
Grizzly,62
Herbie,62
Josh,62
Paddy,62
Petunia,62
Poochie,62
Prancer,62
River,62
Rosebud,62
Sparkle,62
Zachary,62
Amanda,61
Blackjack,61
Charlie Brown,61
Damien,61
Earl,61
Eddy,61
Freedom,61
Fudge,61
Jonah,61
Pongo,61
Robbie,61
Saber,61
Sofie,61
Tex,61
Tillie,61
Trudy,61
Vader,61
Blitz,60
Brindle,60
Chanel,60
Dawson,60
Dolce,60
Gretel,60
Hayley,60
Izzie,60
Laci,60
Mister,60
Reeses,60
Sawyer,60
Stewart,60
Vinny,60
Blake,59
Bodie,59
Bradley,59
Carson,59
Heather,59
Licorice,59
Mitsy,59
Pedro,59
Pluto,59
Sadie Mae,59
Schultz,59
Sherlock,59
Ted,59
Wrinkles,59
Astro,58
Bridgette,58
Brutis,58
Cedar,58
Coconut,58
Corona,58
Diablo,58
Dot,58
Farley,58
Jethro,58
Midge,58
Mini,58
Spud,58
T-Bone,58
Tobie,58
Bailee,57
Balto,57
Bean,57
Corey,57
Ice,57
Jett,57
Joshua,57
Lacie,57
Nika,57
Noodles,57
Payton,57
Raider,57
Roy,57
Schatzie,57
Shana,57
Sundance,57
Tracker,57
Wesley,57
Wilma,57
Wolfie,57
Albert,56
Auggie,56
Beamer,56
Dugan,56
Little Man,56
Louise,56
Mozart,56
Nora,56
Rosey,56
Zippy,56
Aj,55
Andre,55
Bitsy,55
Carmella,55
Chubby,55
Claire,55
Cooter,55
Daisy May,55
Gabrielle,55
Hugo,55
Jinx,55
Lindy,55
Marcy,55
Mazie,55
Memphis,55
Napoleon,55
Neo,55
Pee Wee,55
Peter,55
Reagan,55
Tequila,55
Badger,54
Bree,54
Carmen,54
Erin,54
Halo,54
Howie,54
Jameson,54
Juneau,54
Keegan,54
Kenzie,54
Kujo,54
Marco,54
Marshall,54
Melody,54
Reuben,54
Roo,54
Sassie,54
Snow,54
Valentine,54
Vito,54
Webster,54
Chole,53
Chuck,53
Fergie,53
Finnigan,53
Hoover,53
Johnny,53
Kai,53
Katrina,53
Kitty,53
Maisie,53
Nelson,53
Nestle,53
Nigel,53
Oz,53
Patsy,53
Sneakers,53
Winchester,53
Wrigley,53
Zip,53
Zues,53
Bebe,52
Boone,52
Boston,52
Brie,52
Enzo,52
Kara,52
Leroy,52
Lewis,52
Little Girl,52
Luther,52
Maizy,52
Meadow,52
Pinky,52
Puck,52
Schatzi,52
Sox,52
Atticus,51
Blade,51
Boss,51
Buster Brown,51
Elwood,51
Flower,51
Humphrey,51
Kenya,51
Lili,51
Maggy,51
Noelle,51
Priscilla,51
Rachel,51
Tater,51
Bert,50
Brook,50
Checkers,50
Chiquita,50
Cory,50
Dory,50
Ellie Mae,50
Higgins,50
Macie,50
Mischief,50
Obie,50
Rita,50
Tino,50
Tundra,50
Victor,50
Wolfgang,50
Aussie,49
Chandler,49
Dee Dee,49
Emmitt,49
Fawn,49
J J,49
Luci,49
Marcus,49
Mario,49
Miko,49
Nash,49
Nell,49
Roger,49
Sailor,49
Trapper,49
May,48
Abe,48
Bently,48
Blacky,48
Bow,48
Bronson,48
Carrie,48
Cotton,48
Elliot,48
Gage,48
Glory,48
Lexis,48
Miss Molly,48
Pogo,48
Saddie,48
Tazz,48
Zero,48
Bijou,47
Bishop,47
Buckwheat,47
Chaz,47
Christy,47
Fifi,47
Foxie,47
Gator,47
Iggy,47
Jager,47
Joker,47
Kilo,47
Laila,47
Milly,47
Mystic,47
Pablo,47
Pandora,47
Polo,47
Popeye,47
Punkin,47
Rookie,47
Speedy,47
Sprocket,47
Stuart,47
Theodore,47
Topper,47
Tubby,47
Whitey,47
Zeek,47
Chelsey,46
Conan,46
Dana,46
Dempsey,46
Elizabeth,46
Ember,46
Hector,46
Hobbes,46
Hobo,46
Isaac,46
Jolie,46
Leila,46
Mae,46
Marvin,46
Mcduff,46
Pita,46
Ruben,46
Ziva,46
Avery,45
Beans,45
Bunny,45
Chino,45
Denver,45
Elmer,45
Evie,45
Goofy,45
Harper,45
Mable,45
Miller,45
Nacho,45
Norton,45
Opal,45
Peanuts,45
Robin,45
Spaz,45
Truffles,45
Victoria,45
Beatrice,44
Bootsie,44
Bronx,44
Gino,44
Godiva,44
Jane,44
Lilo,44
Micky,44
Peggy,44
Riggs,44
Tink,44
Xander,44
Friday,43
Amelia,43
Arlo,43
Barnaby,43
Brinkley,43
Button,43
Ceaser,43
Charles,43
Clara,43
Darwin,43
Gabriella,43
Gemini,43
Kip,43
Lana,43
Lydia,43
Maia,43
Nickie,43
Nino,43
Sapphire,43
Sargent,43
Scully,43
Shyla,43
Smoke,43
Teddi,43
Tye,43
Waldo,43
William,43
Alexander,42
Bam Bam,42
Beauregard,42
Booker,42
Brittney,42
Candi,42
Chauncey,42
Chubbs,42
Ethel,42
Gertie,42
Haze,42
J D,42
K.C.,42
Kya,42
Malcolm,42
Malibu,42
Mandi,42
Micah,42
Roman,42
Tully,42
Wylie,42
Becca,41
Buford,41
Cain,41
Chewey,41
Jagger,41
Lyla,41
Marlee,41
Martini,41
Meggie,41
Mitch,41
Nana,41
Nena,41
Pup,41
Rudi,41
Silver,41
Tug,41
Aggie,40
Angelina,40
Billie,40
Bindi,40
Blazer,40
Butter,40
Cassy,40
Gem,40
Kiko,40
Kota,40
Kuma,40
Martha,40
Neko,40
Pheobe,40
Sparkie,40
Terry,40
Tobias,40
Torre,40
Trey,40
Twister,40
Axle,39
Brandie,39
Breezy,39
Buddha,39
Drew,39
Elly,39
Finley,39
Gotti,39
Kassie,39
Kenny,39
Maude,39
Topaz,39
Twinkie,39
Zephyr,39
Zipper,39
June,38
Arrow,38
Baci,38
Bessie,38
Cami,38
Clark,38
Dickens,38
Fuzzy,38
Halle,38
Jacques,38
Jodi,38
Kerry,38
Magoo,38
Paisley,38
Paws,38
Pudgy,38
Raleigh,38
Rylie,38
Scoobie,38
Shylo,38
Speckles,38
Thelma,38
Tika,38
Tory,38
Uno,38
Alvin,37
Beanie,37
Brandon,37
Buckshot,37
Calli,37
Cha Cha,37
Chessie,37
Ciara,37
Clementine,37
Danny Boy,37
Elle,37
Foxy Lady,37
James,37
Jennie,37
Jezebel,37
Jillian,37
Josey,37
Keeper,37
Lefty,37
Luka,37
Nipper,37
Poco,37
Rockie,37
Rommel,37
Ryder,37
Salem,37
Strider,37
Ajax,36
Akira,36
Baloo,36
Bauer,36
Bess,36
Breeze,36
Buddy Boy,36
C J,36
Codi,36
Cora,36
Dax,36
Daytona,36
Hattie,36
Hollie,36
Jules,36
Malachi,36
Mel,36
Mina,36
Missie,36
Mufasa,36
Myles,36
Mylo,36
Nero,36
Rover,36
Rugby,36
Sparkey,36
Tristan,36
Tugger,36
Whisper,36
Winter,36
Zeb,36
Addy,35
Bennie,35
Bill,35
Birdie,35
Bisquit,35
Bodhi,35
Bridgett,35
Cappy,35
Cloey,35
Dizzy,35
Ed,35
Gemma,35
Gordy,35
Hobie,35
Huckleberry,35
Jag,35
Jeb,35
Lex,35
Lisa,35
London,35
Mango,35
Michael,35
Monster,35
Nathan,35
Obi,35
Presley,35
Rain,35
Rooney,35
Samuel,35
Shawnee,35
Shy,35
Suzi,35
Tabitha,35
Wallace,35
Xavier,35
Addison,34
Britney,34
Butters,34
Captain Jack,34
Chichi,34
Curtis,34
Derby,34
Frisky,34
Ghost,34
Girl,34
Gunny,34
Isabell,34
Ivory,34
Jazmin,34
Liam,34
Mama,34
Mater,34
Meko,34
Mischa,34
Nadia,34
Nicole,34
Piglet,34
Preston,34
Rogue,34
Santana,34
Spca,34
Stevie,34
Tally,34
Todd,34
Artie,33
Beaner,33
Boozer,33
Bowie,33
Bryce,33
Bubby,33
Cara,33
Cinderella,33
Cutie,33
Dharma,33
General,33
Gizzy,33
Grover,33
Hallie,33
Holley,33
Huck,33
Kacey,33
Kallie,33
Kendall,33
Kiera,33
Kozmo,33
Latte,33
Mary Jane,33
Meka,33
Munson,33
Nola,33
Peppi,33
Pudgie,33
Raja,33
Ramsey,33
Remmy,33
Rosa,33
Shay,33
Spook,33
Stubby,33
Tabby,33
Teddie,33
Valentino,33
Vixen,33
Will,33
Aiden,32
Bea,32
Bernard,32
Bleu,32
Blitzen,32
Booboo,32
Bosley,32
Clarence,32
Dancer,32
Deisel,32
Frisco,32
Garth,32
Jasmin,32
Kyle,32
Lilli,32
Maddox,32
Meghan,32
Miya,32
Myah,32
Natalie,32
Nibbles,32
Perry,32
Pippi,32
Ruckus,32
Ruthie,32
Sahara,32
Shayla,32
Sirius,32
Solomon,32
Sugar Bear,32
Trina,32
Wizard,32
Zuzu,32
Audrey,31
Beasley,31
Cady,31
Coty,31
Crosby,31
Czar,31
Daisy Duke,31
Damian,31
Dinah,31
Dobby,31
Doobie,31
Genevieve,31
Halley,31
Hawkeye,31
Hutch,31
Jack Daniels,31
Jay,31
Jazzie,31
Kasha,31
Kolby,31
Liza,31
Maddi,31
Maria,31
Maximillian,31
Ming,31
Mj,31
Moka,31
Neiko,31
Newton,31
None,31
Seneca,31
Sequoia,31
Spotty,31
Steve,31
Tag,31
Tallulah,31
Tula,31
Wags,31
Willis,31
Alaska,30
Alli,30
Anya,30
Ashes,30
Augustus,30
Beast,30
Cameron,30
Champion,30
Christmas,30
Co Co,30
Emmi,30
Haylee,30
India,30
Indigo,30
Janie,30
Jester,30
Judy,30
Julia,30
Keiko,30
Keno,30
Lovey,30
Maple,30
Meisha,30
Miranda,30
Paulie,30
Pippen,30
Polar,30
Pooch,30
Puffy,30
Sandie,30
Schuyler,30
Sonic,30
Teagan,30
Barbie,29
Buckley,29
Carlos,29
Chi-Chi,29
Cola,29
Colt,29
Forrest,29
Freya,29
Goose,29
Harriet,29
Hero,29
Hilda,29
Huey,29
Jessy,29
Jose,29
Jude,29
Kady,29
Kit,29
Ladybug,29
Lala,29
Leon,29
Lillian,29
Maizie,29
Margo,29
Maximillion,29
Meatball,29
Meesha,29
Moby,29
Oskar,29
P J,29
Peewee,29
Popcorn,29
Saranac,29
Serena,29
Seven,29
Simone,29
Sinbad,29
Soco,29
Sonya,29
Sparkles,29
Sweetie Pie,29
Terra,29
Tupper,29
Tux,29
Wicket,29
Zander,29
Zora,29
Argus,28
Barry,28
Biggie,28
Brianna,28
Cassius,28
Clancey,28
Dan,28
Doodle,28
Edgar,28
Ezra,28
Fern,28
Gideon,28
Girlie,28
Gonzo,28
Harmony,28
Houdini,28
Kacie,28
Khloe,28
Knight,28
Lady Jane,28
Little Lady,28
Martin,28
Miracle,28
Mishka,28
Mousse,28
Napolean,28
Oso,28
Potter,28
Rigby,28
Rizzo,28
Rj,28
Sadi,28
Scamper,28
Sedona,28
Shirley,28
Shooter,28
Snicker,28
Snuffy,28
Solo,28
Stoli,28
Sushi,28
Tinker Bell,28
Tom,28
Armani,27
Barron,27
Berkley,27
Bode,27
Cally,27
Calypso,27
Caramel,27
Cesar,27
Charly,27
Chomper,27
Chuckie,27
Dani,27
Dasher,27
Dobie,27
Droopy,27
Eleanor,27
Forest,27
Fox,27
Gilbert,27
Guido,27
Hana,27
Herman,27
Hobbs,27
Hooper,27
Howard,27
Josephine,27
Julius,27
Keira,27
Kenai,27
Kimber,27
Link,27
Lita,27
Liz,27
Lottie,27
Macho,27
Maisey,27
Mutley,27
Phil,27
Prada,27
Rajah,27
Ray,27
Ronnie,27
Sabbath,27
Sady,27
Selena,27
Shakespeare,27
Sheldon,27
Shyann,27
Tanya,27
Tate,27
Tim,27
Toni,27
Zane,27
Zara,27
Zeppelin,27
Abbi,26
Agnes,26
Babs,26
Bam,26
Bertha,26
Briar,26
Chad,26
Chalupa,26
Chesney,26
Chubs,26
Chucky,26
Cinders,26
Coach,26
Cruiser,26
D J,26
Digby,26
Dollie,26
Dustin,26
Fido,26
Fonzie,26
Furby,26
Gabbie,26
Gertrude,26
Guy,26
Harlee,26
Inky,26
Jaeger,26
Jeeter,26
Juliette,26
Kodie,26
Krissy,26
Krystal,26
Kylee,26
Melanie,26
Merry,26
Midas,26
Mikki,26
Mila,26
Neeko,26
Nessie,26
Nyla,26
Ottis,26
Patti,26
Pepi,26
Powder,26
Pugsly,26
Pumba,26
Queen,26
Rebecca,26
Rhett,26
Rodney,26
Rollie,26
Saphire,26
Saydee,26
Schnitzel,26
Scotch,26
Sullivan,26
T J,26
Tracy,26
Tulip,26
Tyke,26
Vincent,26
Yeller,26
Zowie,26
Adam,25
Adrian,25
Annabell,25
Arwen,25
Bacardi,25
Bayley,25
Big Boy,25
Binky,25
Brando,25
Budweiser,25
Carlie,25
Cece,25
Chachi,25
Cherry,25
Chinook,25
Chunk,25
Courtney,25
Cupid,25
Dave,25
Debo,25
Desiree,25
Ditto,25
Divot,25
Freeway,25
Gatsby,25
Gibbs,25
Harpo,25
Hayden,25
Henri,25
Ian,25
Indie,25
Jerry Lee,25
Kandi,25
Keely,25
Kennedy,25
Kyla,25
Laney,25
Lea,25
Leonardo,25
Lindsey,25
Lucille,25
Maeve,25
Magee,25
Magnolia,25
Maizey,25
Mica,25
Mickie,25
Mittens,25
Niles,25
Page,25
Patton,25
Philly,25
Piggy,25
Porkchop,25
Porky,25
Portia,25
Puff,25
Ralphy,25
Ruffles,25
Schatze,25
Smoky,25
Socrates,25
Sofia,25
Sprinkles,25
Tala,25
Tawny,25
Thomas,25
Turk,25
Turner,25
Vicky,25
Widget,25
Windy,25
Wookie,25
Al,24
Amigo,24
Angelica,24
Ares,24
Bongo,24
Brindy,24
Bull,24
Cadence,24
Camille,24
Cassandra,24
Charm,24
Chestnut,24
Chris,24
Clay,24
Cloud,24
Codie,24
Conner,24
Cozmo,24
Cracker,24
Dahlia,24
Damon,24
Deedee,24
Django,24
Gilligan,24
Hadley,24
Hickory,24
Houston,24
Hurley,24
J.D.,24
Jericho,24
Jiggs,24
Jupiter,24
Kandy,24
Kingston,24
Knuckles,24
Laika,24
Lia,24
Lilah,24
Magnus,24
Mallory,24
Mara,24
Mira,24
Mitchell,24
Moxy,24
Mushu,24
Muttley,24
Pancho,24
Papi,24
Punky,24
Pupper,24
Putter,24
Reily,24
Savanah,24
Savanna,24
